tweet_id,author_id,text,created_at,response_tweet_id
1812,116113,@115873 worst most unprofessional driver ever !! asked for extra fee when he showed up ! yelling at me cause uber don't pay for his 30k car??? https://t.co/i5qOULRSnc,Tue Oct 31 21:50:15 +0000 2017,1810
1866,116127,@Uber_Support I have submitted complain against over charging but still not response from uber support!!!!,Fri Dec 01 06:44:23 +0000 2017,1864
2097,116168,@Uber_Support done please check,Fri Dec 01 06:50:57 +0000 2017,2099
2098,116168,kya khassi support hai yaar @Uber_Support. i am an uber rider not driver. they are telling me to take docs to nearby uber office for verification and all i was asked was to update my cellphone number 👺👺,Fri Dec 01 06:40:48 +0000 2017,"2096,2100"
2125,116175,"@Uber_Support  After contacting you concerning deactivation of my account, it was reactivated but after 48 hrs, ,it has been been deactivated. Please help",Fri Dec 01 04:25:43 +0000 2017,2124
2156,116186,@Uber_Support do you also support ubereats singapore? im reaching out here bec the support there is useless. any chance you could help?,Fri Dec 01 06:38:56 +0000 2017,2153
2404,116264,When I open the GPS map on UberEATS and see that my driver has turned down the wrong street: https://t.co/awQwmNwfUV,Wed Nov 01 02:31:19 +0000 2017,2402
2406,116265,"@115877 hey, I was wondering if you could give me a discount on my food I'm broke!",Sun Nov 26 00:19:46 +0000 2017,2405
2408,116266,"@115877 dealing with a driver who is literally incompetent and just swore down the phone, i hope this isn’t what ubereats stands for?",Sun Nov 26 00:24:54 +0000 2017,2407
2410,116267,.@115873 I️t took our driver over 5 minutes to start moving for our ride. We have a flight to catch. If they can’t do the ride then they shouldn’t accept I️t. #CustomerService,Sun Nov 26 00:24:29 +0000 2017,2409
2412,116268,How did I not get a ride out of this surge!? I’m at the Four Seasons resort and there is only one car around me and it’s farther away. Thanks @115873. #scrubered. https://t.co/qdicFjZlXB,Sun Nov 26 00:17:09 +0000 2017,2411
2414,116269,Ugh! @115873 is there a reason you disabled my ability to respond to a complaint you guys asked me to resend information to?,Sun Nov 26 00:01:10 +0000 2017,"2413,2415"
2417,116270,@Uber_Support I submitted an online request and expect a cancellation credit to my account as I would of had to pay. Thank you!,Sun Nov 26 01:07:05 +0000 2017,2419
2418,116270,Hey @116271 my scheduled ride canceled on me when he was 1 minute away. If I cancel I pay $5. I need a $5 credit.,Sun Nov 26 00:17:39 +0000 2017,"2416,2420"
2422,116272,@Uber_Support Thank you for your response. Put in a request and am waiting for reply!,Sun Nov 26 00:47:30 +0000 2017,2424
2423,116272,@115877 just made a $35 ubereats order from @116273 and did not receive my burrito. Who should I contact?,Sun Nov 26 00:19:51 +0000 2017,2421
2426,116274,@Uber_Support Or even reply.,Sun Nov 26 00:11:26 +0000 2017,2425
2429,116275,@116276 any reason I’m trying to Inform ur support staff that my debit card is being charged fraudulently from another Uber account while I’m at work and no one seems to care?,Sat Nov 25 23:57:36 +0000 2017,2428
2432,116277,.@115877’s surge pricing is ridiculous. I literally just ordered the exact same food from @425 on @154 for $13 less. 🙄,Sun Nov 26 00:12:04 +0000 2017,2430
2434,116278,"@Uber_Support Is there a way I can address a specific issue? Though i already received compensation for that ride i reported, I'd like to mention it would've been avoided if the route to my location was plotted correctly. The map told him to pass through a route that had a dead end",Sun Nov 26 00:11:26 +0000 2017,2433
2436,116278,Hi @Uber_Support I have a problem with a cancellation fee I was charged but the case fits none of the options. How can I report i this?,Fri Nov 24 23:12:52 +0000 2017,2435
2438,116279,"@115873 awful customer service, why bother trying to contact the head office?",Sun Nov 26 00:13:30 +0000 2017,2437
2440,116280,"@Uber_Support i’m already registered as a driver, lower the age requirement or let me bypass the rule please",Sun Nov 26 00:27:31 +0000 2017,2442
2443,116280,@Uber_Support i’m 4 months away from being 21 and have driving experience including delivery. i feel i should be able to drive now instead of waiting to be 21,Sun Nov 26 00:44:53 +0000 2017,2444
2441,116280,@115873 i’m only a few months away from 21. let me drive anyway,Sun Nov 26 00:12:27 +0000 2017,2439
2446,116281,"@Uber_Support That's a big lie otherwise my account would be up and running, stop lying, I'll make it public all the lies your guys have told me, been told it would only take 48 hours been waiting 5 DAYS",Sun Nov 26 21:36:43 +0000 2017,2448
2447,116281,"@116276 ANSWER ME, WHY IF I REPORT ANOTHER DRIVER WITH A GUN IN HI VEHICLE MY ACCOUNT GETS PUT ON HOLD????????",Sat Nov 25 23:56:44 +0000 2017,2445
2451,116282,"@Uber_Support I already messaged you her email address. Not sure what you mean with in-app support, but do you realize you guys deactivated her account?",Sun Nov 26 01:40:47 +0000 2017,2453
2452,116282,"@115873 @Uber_Support 
My wife account got charged w 2 uber eats orders we never placed.
Called help number,  and after 20 min hold, all we were told had to email uber help
Seriously?",Sun Nov 26 00:05:45 +0000 2017,2450
2455,116283,An uber driver 1)let me drive 2)started petting my hair as I drive 3)hugged me goodbye and 4)proceeded to touch my ass dyring said weird ass hug @115873 get ur shit together,Sun Nov 26 00:05:53 +0000 2017,2454
2457,116284,"@Uber_Support I booked a trip with you tonight, and after I paid for the trip the driver never came and the drive was completed in the app, what can we do to get our money back?",Sun Nov 26 00:08:26 +0000 2017,2456
2459,116285,@Uber_Support I definitely did this to no avail - it kept defaulting to the terminal.,Sun Nov 26 00:13:14 +0000 2017,2461
2460,116285,"@Uber_Support; why do you make it impossible to arrange for a pick up at an FBO at an airport? I'm in the US and no matter what I do, the pick up location defaults to the terminal. I'm not at the the terminal. I'm at the FBO. You guys lost 3 rides tonight.",Sun Nov 26 00:01:53 +0000 2017,2458
2463,116286,"For those of you who saw my insta story earlier today, I am safe. I got into a car accident while riding in my @115873 and am currently being checked out in the ER. Moments like this make me realize how quickly things in life can change and how lucky I am to be here. I thank God.",Sun Nov 26 00:01:09 +0000 2017,2462
2465,116287,"@115873 @116288 My friend, Harsh Ranjan left his phone in uber cab while returning home. He tried calling his phone, it rang at the beginning then after few seconds it's coming as switched off. I am sharing the driver details and trip details. Kindly help. https://t.co/m1QNY1rSm2",Sun Nov 26 00:02:29 +0000 2017,2464
2467,116289,@Uber_Support Minimum fare rides lose money. Fix it.,Sun Nov 26 00:02:26 +0000 2017,2466
2469,116290,@Uber_Support Already did weeks ago. Been answered to reboot/reinstall.,Sun Nov 26 00:00:07 +0000 2017,2468
2471,116290,@Uber_Support Well paypal payment not working since the start of the week.,Sat Nov 25 02:56:26 +0000 2017,2470
2474,116290,@Uber_Support since the ParisGamesWeek your system dosnt work by paypal. F*** it i'm taking taxis.,Sat Nov 25 02:49:59 +0000 2017,2472
2476,116291,@Uber_Support I already tried this. It failed.,Sat Nov 25 23:59:37 +0000 2017,2475
2478,116291,When your @115873 driver accuses you of stealing his “hustle” money from his cup holder but then finds it under his seat and was rude and disrespectful &amp; denies you a refund...,Sat Nov 25 23:21:05 +0000 2017,2477
2480,116292,@115877 Tell me why I've called support four times and been on hold for ages every time .. If no one answers what's the point of having a support number,Sat Nov 25 23:56:03 +0000 2017,2479
2494,116299,"@115877 AND NOW, I CAN'T EVEN REORDER BECAUSE THE RESTAURANT IS CLOSED!!!!!!!!!!!!!!!!!!!!!!!!!! UBER EATS UBER SUCKS.",Wed Nov 01 02:40:51 +0000 2017,2493
2714,116355,@Uber_Support I Dm'ed you!,Wed Nov 01 02:26:52 +0000 2017,2713
2717,116355,"@Uber_Support I need help with my Account, It gets disabled every time I try to login and it's getting really frustrating!😬😠",Wed Nov 01 01:18:59 +0000 2017,2715
2719,116356,@Uber_Support @115877 you haven’t “reached out”. Please refund the cost of the inedible food without delay,Thu Nov 02 12:25:46 +0000 2017,2721
2720,116356,@Uber_Support Just did,Mon Oct 30 23:23:07 +0000 2017,2718
2724,116356,"Hi @115877  this is an inadequate response to me telling you I had to throw away the entire £18 order. If eat in, would’ve been sent back https://t.co/lqjrLk8BYw",Mon Oct 30 22:43:04 +0000 2017,2722
2726,116357,@Uber_Support I ordered food through uber eats. I did not get the delivery. Please contact me.,Tue Oct 31 22:24:15 +0000 2017,2725
2728,116358,"Hey, all, this guy picked my cousin up in Pittsburgh on Friday for @115873 and tried sexually assaulting her. His name is Feruzbek. https://t.co/rfzLT3fn5Q",Tue Oct 31 22:19:35 +0000 2017,2727
2730,116359,@115877 @Uber_Support,Tue Oct 31 22:23:58 +0000 2017,2729
2733,116360,.@115873 how do i dispute a charge?,Tue Oct 31 22:17:41 +0000 2017,2732
2735,116361,@Uber_Support it's fucking cold and we have to wait 15 min. I want to cancel my taxi. It doesn't work. Pls help. There are taxis inf front,Wed Nov 01 02:22:36 +0000 2017,2734
2942,116389,LOLLLLL our uber just got pulled ov by tu police and £100 fine,Wed Nov 01 02:26:13 +0000 2017,2940
3161,116437,@Uber_Support Already spoke with you guys through the app. Wasn't helpful.,Fri Dec 01 06:27:15 +0000 2017,3160
3163,116437,"Uber driver drove me to wrong location, makes me get out anyway and @115873 won't provide a proper refund 🙃🙃🙃 #Delete #Fail Sup @115879 😘😘😘",Fri Dec 01 06:10:17 +0000 2017,3162
3640,116581,So upset with ubereats! No one will get back to ME!! @Uber_Support @115877 @115877,Wed Nov 01 02:37:14 +0000 2017,3639
3717,116608,"#uber : how funny when Uber Ask you to add even 10/- incase of low balance, and then deduct 50/- for their driver cancelling the ride.😡😡😡",Wed Nov 01 02:21:10 +0000 2017,3716
3719,116609,@Uber_Support Are you going to email me or not,Wed Nov 01 02:59:58 +0000 2017,3718
3721,116609,@Uber_Support my driver crashed and I hit my head happy Halloween,Wed Nov 01 00:59:21 +0000 2017,3720
3801,116634,@Uber_Support Hello??? What's going on????,Wed Nov 01 00:05:29 +0000 2017,3803
3802,116634,@Uber_Support WTF??? Trying to book &amp; it just says Oops. Trying to get help &amp; nothing is working. HELP!!! I need to book urgently #uberdrama,Tue Oct 31 23:08:14 +0000 2017,3798
3805,116635,"@115873 why charge higher than the rate range when I order? Ordered uberblack in Geneva for a 5-min ride. Range was Ch19 -24, charged Ch32.38.",Tue Oct 31 22:26:48 +0000 2017,3804
3807,116636,Hey @115873 I’m currently in a car with the worlds dumbest driver.  Y’all need to start checking these fools,Tue Oct 31 22:28:41 +0000 2017,3806
3809,116637,@Uber_Support one of your drivers just started my ride without picking me up,Tue Oct 31 22:25:24 +0000 2017,3808
3811,116638,"@Uber_Support help! My vehicle registration expires today. I paid my license dept last week but have not received it in the mail, to upload.",Tue Oct 31 22:27:09 +0000 2017,3810
3813,116639,"@115873 ordered a car, took longer than the suggested 6 mins, then you wanted to charge me a £5 cancellation fee. You’re having a bubble bath!",Tue Oct 31 22:41:13 +0000 2017,3812
3815,116640,Wtf just happened. @115873 how do i complain abott a driver who canceled on me due to discriminatory and racist judgements.#uber,Tue Oct 31 22:26:59 +0000 2017,3814
3817,116641,@115873 I had a horrifying experience with the driver Suresh: 9958520468. he refused to pickup and threaten me cancel the booking or else...,Tue Oct 31 22:21:24 +0000 2017,3816
3819,116642,@Uber_Support hello! I meant as a user not as an associate!!,Tue Oct 31 22:49:05 +0000 2017,3818
3821,116642,"@Uber_Support I live in Mexico City, have not received facturas in the last 2 months and need then ASAP for tax report. please help!",Tue Oct 31 21:27:55 +0000 2017,3820
4585,116787,@Uber_Support Already responded. No response. New order is 30minutes late. @116788 would do a better job. Using them from now on. Loyal customer just lost.,Fri Dec 01 06:26:04 +0000 2017,4583
4587,116787,@115873 4 tweets and no customer service response. Ridiculous. Absolutely shocking for an “elite” customer service app. No wonder people are streaming to other apps,Fri Dec 01 06:16:38 +0000 2017,4586
4919,116866,Having a terrible time getting @115877 to move charges to a correct credit card. 10+ emails deep and have to keep explaining. Help!,Tue Oct 31 22:39:32 +0000 2017,4918
4921,116867,So my $12 ride just turned into $387. Really @115873 ??? https://t.co/0mxOCJC81m,Tue Oct 31 22:38:07 +0000 2017,4920
4923,116868,@Uber_Support how do you add a driver?,Tue Oct 31 22:42:15 +0000 2017,4922
4925,116869,@Uber_Support UR team messed up again lol,Thu Nov 02 02:45:58 +0000 2017,4927
4926,116869,"@115873 I've been using the service for more than a year and never had any issues, the last week I've been charged for ur drivers mistakes.",Tue Oct 31 22:34:36 +0000 2017,4924
5859,117111,"@115877 you failed me, seriously a burrito and queso when I ordered a salad?! And no request to get this fixed... help me out!",Tue Oct 31 23:13:19 +0000 2017,5858
5861,117112,@Uber_Support This is out of date. The site https://t.co/gEBwRjewXQ is no longer online. Found this https://t.co/fvCb7ejJPp but I'm not recieving anything,Wed Nov 01 00:51:33 +0000 2017,5863
5862,117112,@Uber_Support Hi! I have a problem getting my invocie in Mexico (tax-legal facturas). Can you help or do you have a help center for Mexico?,Tue Oct 31 23:04:20 +0000 2017,5860
5865,117113,I need a hookup with an @115873 promo code. Help a nigga out! #uberpromo #fucklyft #uber,Tue Oct 31 23:08:20 +0000 2017,5864
5867,117114,@117115 @115877 just ordered for the first time. Order botched. Driver cant fix. Bayonne McDs wont answer phone. #fail #neveragain,Tue Oct 31 23:07:15 +0000 2017,5866
6968,117199,"@Uber_Support I don't have any card, so cannot fill the required field. I just want to know if it's a service only for inside USA or not, before purchase.",Wed Nov 01 01:03:01 +0000 2017,6970
6969,117199,@Uber_Support Question! Can we send a Gift Card (maybe digital) out of US? I'm in Panama and want to send a gift card to someone in Panama,Tue Oct 31 23:02:50 +0000 2017,6967
6973,117200,Some of the worst delivery service I have ever received in my life @115877,Tue Oct 31 23:24:12 +0000 2017,6971
6976,117201,@Uber_Support i change my number i need to update and i'm having problems cause in the app don't let me do that even in the site help!!,Tue Oct 31 23:00:57 +0000 2017,6974
6979,117202,".@Uber_Support Thanks to your AMAZING customer service, you have just lost 2 customers who have spent nearly $1500 this year. GREAT WORK!",Tue Oct 31 23:12:45 +0000 2017,6977
6981,117203,@Uber_Support page isn't working...,Wed Nov 01 17:12:56 +0000 2017,6983
6984,117203,@Uber_Support This is what m getting everytime...Any response to this ? https://t.co/ZgFJCQjRN8,Thu Nov 02 16:47:14 +0000 2017,6985
6982,117203,"WTH !! @115873  Totally unprofessional. First,Cancelled the ride without informing me and Second, charging me for that. 😡😠",Tue Oct 31 23:06:02 +0000 2017,6980
6987,117204,"We ordered food on @115877 for 8 hungry neighborhood kids, AND THEY CANCELLED THE ORDER AFTER AN HOUR OF WAITING. R you eff'n kidding me?!",Tue Oct 31 22:57:34 +0000 2017,6986
6989,117205,@Uber_Support I'm ready 2 file a complaint with Better Business Bureau &amp; FTC over misleading info Uber sent 2 me in an email &amp; overcharging,Tue Oct 31 23:29:55 +0000 2017,6988
6991,117206,. @Uber_Support I ORDERED CHIPS AND QUESO AND I GOT NO CHIPS PLEASE HELP,Tue Oct 31 22:52:58 +0000 2017,6990
7016,117215,"@Uber_Support Hi. I lost my phone in an Uber. App asks me to submit my phone number to make contact,I only had mobile as travelling.",Fri Dec 01 14:57:15 +0000 2017,7014
8583,117512,"@Uber_Support just got kicked out of this guy’s car because he didn’t want to drive me home. Insult to injury, you charge me $7. #uberfail https://t.co/pJZuJmyyEj",Tue Oct 31 23:22:24 +0000 2017,8582
8585,117513,So how about my goddamned money https://t.co/FIf624cXYJ,Tue Oct 31 23:32:44 +0000 2017,8584
8587,117514,@Uber_Support https://t.co/rOY8MXSxYF,Tue Oct 31 23:19:37 +0000 2017,8586
8591,117514,"@Uber_Support Remedy &amp; please refund my $5, that's breakfast money tomorrow, thank you. https://t.co/dT6DYbPZO6",Tue Oct 31 18:34:39 +0000 2017,8588
8593,117515,@Uber_Support @117516 this was our driver she was so rude and tried to sell us fishplates during our ride. https://t.co/J8OtncW9vI,Tue Oct 31 23:17:00 +0000 2017,8592
8595,117515,@Uber_Support me and my good sis @117516 had an issue with a driver recently...can you please help?,Tue Oct 31 21:50:55 +0000 2017,"8596,8594"
8598,117517,@115877 @117518 am I going to get a refund...? https://t.co/67jUGLxYLH,Tue Oct 31 23:30:13 +0000 2017,8597
8600,117519,"@Uber_Support I have already use these alternative a few days ago, and haven't had any answer yet :/",Tue Oct 31 23:56:09 +0000 2017,8602
8604,117519,@Uber_Support I all ready send the DM,Wed Nov 01 00:34:46 +0000 2017,8605
8601,117519,"@Uber_Support were can I receive attention ? Im a restaurant owner in Queretaro, Mexico and I want to work with your apo",Tue Oct 31 23:15:20 +0000 2017,8599
8607,117520,@115873 How about your drivers in London don’t cancel on you after 15 minutes of being ‘on the way’ then charge you anyway. Happened several times.,Tue Oct 31 23:16:55 +0000 2017,8606
8658,117521,@Uber_Support:  Do you have a customer support email?,Tue Oct 31 23:18:46 +0000 2017,8657
9307,117656,"So @Uber_Support your ""support team"" gave me BS ""answers"" and then refused to speak to me.

PayPal didn't. Goodbye, @115873! :)

Hello, @115879. https://t.co/79MBtmyS1t",Tue Oct 31 23:17:24 +0000 2017,"9305,9308"
9311,117657,@117658 @117115 @115877 We don't just want #Convenience!!!! We want you to get our orders correct!!! @117115 @McDonalds  #ihatemcdonalds,Wed Nov 01 00:00:42 +0000 2017,9309
9314,117659,"@115873 1 That makes @115879 better than U!
When somebody throws up in a driver's vehicle they remove the rating! Especially if they have to $$$",Tue Oct 31 22:23:16 +0000 2017,9313
9316,117660,Wish I could give Uber drivers 5 stars while simultaneously giving the @Uber_Support app a 0 star rating for giving the wrong directions 🙄,Tue Oct 31 23:37:56 +0000 2017,9315
9318,117661,@115877 can you bring me a bottle of sparkling rosé?,Tue Oct 31 23:32:35 +0000 2017,9317
9320,117662,"@Uber_Support I accidentally picked up the wrong order from my lobby, can you help? I can deliver the food if I have an apt number.",Tue Oct 31 23:37:46 +0000 2017,9319
9322,117663,@Uber_Support I submitted again through the link you provided me.,Tue Oct 31 23:45:37 +0000 2017,"9321,9323"
9326,117663,"@Uber_Support when will you update your in app location services for Edmonton, Alberta, Canada? Uber drivers never find our area Maple Crest",Mon Oct 30 06:01:16 +0000 2017,9324
9328,117664,@115877 My app isn’t working whenever I try to check out.,Tue Oct 31 23:32:23 +0000 2017,9327
9337,117665,"@Uber_Support I waited 20 minutes for a ride - driver around the corner the whole time! No $5.00 fee, please.",Tue Oct 31 23:36:35 +0000 2017,9336
9339,117666,@659 @115877 It just doesn’t make sense https://t.co/ULdLAtcea2,Tue Oct 31 23:26:23 +0000 2017,9338
9851,117812,@Uber_Support STOP SENDING ME DRIVERS SAYING THEIR 5 MINUTES AWAY WHEN THEY'RE REALLY 20 I HAVE PLACES TO BE!,Tue Oct 31 23:50:50 +0000 2017,9850
9853,116866,"@Uber_Support I've had 10+  emails trying to get UberEats charges moved to a correct card. 3 of 6 moved, getting run around. Help!",Tue Oct 31 23:48:05 +0000 2017,9852
9855,117813,@Uber_Support Pretty sure I detailed what the issue is blatantly. Y’all have no filter whatsoever on the driving skills of who you hire.,Wed Nov 01 00:24:06 +0000 2017,9857
9856,117813,Why is everyone that works for @115873 literally the worst driver on the road at any given time,Tue Oct 31 23:39:59 +0000 2017,9854
9859,117814,@Uber_Support but i dont register yet thanks to the sms code,Wed Nov 01 00:46:23 +0000 2017,9861
9860,117814,@Uber_Support today dont works the sms code for registration new account?,Tue Oct 31 23:46:48 +0000 2017,9858
9863,117815,@115877 is a joke. Made us wait 50 minutes just to tell us they can't fulfill the order and cancelled it😡,Tue Oct 31 23:39:01 +0000 2017,9862
10319,117869,"@115873 @Uber_Support hopeless. Waiting for someone to respond on my request, more than 30 hrs",Wed Nov 22 11:44:07 +0000 2017,10318
10609,117939,". @Uber_Support two days Ives been trying to us this app. 
All I want McDonald's breakfast while not having to leave my bed and this is very problematic. https://t.co/4jzMdFbtpx",Fri Dec 01 14:57:30 +0000 2017,"10608,10610,10611,10612"
10698,117969,@Uber_Support Thanks - our baby is &lt;12mos and we need our car seat to fly so I was wondering if we can bring our own car seat and install via belt buckle in any UberX to go to the airport,Fri Dec 01 14:58:15 +0000 2017,10696
10700,117969,@Uber_Support can we bring our own carseat in an UberX ride to the airport?,Thu Nov 30 15:13:20 +0000 2017,10699
10702,117970,@115873 I am still waiting for a response in regards to my account being disabled. Is there a number I can call?,Tue Oct 31 22:40:29 +0000 2017,10701
10706,117972,Want’s the point of Uber VIP when 4 of my friends that aren’t VIP’s all got 50% deals ? @Uber_Support,Wed Nov 01 00:01:20 +0000 2017,10705
10708,117973,I had a couple of @115873 drivers show up at my house with that Middle Eastern attire stinking of ME food.,Tue Oct 31 23:53:59 +0000 2017,10707
11146,118109,I need to file a complaint w/ @115873 ASAP! Anyone know of the email address I need???,Wed Nov 01 00:56:18 +0000 2017,11145
11148,118110,@Uber_Support I have been doing that for the last 50mins no reply,Wed Nov 01 01:01:37 +0000 2017,"11150,11151"
11149,118110,Someone from @115873 needs to contact me ASAP or I am reporting there company this is ridiculous,Wed Nov 01 00:14:40 +0000 2017,11147
11153,118111,@Uber_Support How long does it take to get approved as a driver?,Wed Nov 01 00:49:31 +0000 2017,11152
11155,118111,@Uber_Support if I wanted to be an UberEATS driver could I be under someone else’s insurance policy to qualify?,Sat Oct 28 01:29:03 +0000 2017,11154
11157,118112,"WHO THE HECK GAVE ME LESS THAN 5 STARS?! I’m a pleasure. @115873, please address and fix. https://t.co/7LzHzpYRpP",Wed Nov 01 00:47:19 +0000 2017,11156
11159,118113,"What's the point of @115873's split fare feature if it never works, ever? @Uber_Support",Wed Nov 01 00:09:03 +0000 2017,11158
11161,118114,I hope the dumb bitch that stole my wallet in my @115873 pool chokes on a dick and gets a week load of diarrhea!,Wed Nov 01 00:09:39 +0000 2017,11160
11559,118227,"@Uber_Support thanks, however this is a link to the US Uber details. Is there somebody who can help for Australian drivers?",Wed Nov 22 12:29:12 +0000 2017,11558
11561,118227,"@Uber_Support I have been requested to provide my driving record and submit applications for Passenger Transport Licence Code both of which I have obtained. There are however, no links nor upload options neither online or on the app available to upload these documents. How do I?",Sun Nov 19 10:53:11 +0000 2017,11560
11563,118228,"@Uber_Support and so your team member did connect with me and suggested I change city in my email subscription settings on my profile page and I sent him a screenshot of my profile page to show how I didn't have the email subscription settings button over there at all. Since then, no replies!!",Wed Nov 22 12:29:20 +0000 2017,11562
11565,118228,"@Uber_Support I have moved recently from Delhi to Mumbai, India permanently. However, I keep getting SMS/email about offers in Delhi. How can I change that to Mumbai?",Mon Nov 20 07:27:54 +0000 2017,11564
11669,118253,@Uber_Support got this message few hours back. then hour later asked me if my account was working. I said no then the  blocked me. https://t.co/uGQtHhWKGi,Tue Oct 31 23:49:34 +0000 2017,11668
11677,118255,@115873 I have left my key in a taxi and need to get it back,Wed Nov 01 00:22:03 +0000 2017,11676
11679,118256,@115873 are a joke mate. Honestly trying to charge me £30 for a taxi to Mint when 10 mins ago it was £8? Sly bastards,Wed Nov 01 00:16:19 +0000 2017,11678
11681,118257,@821 why do i have Uber Navigator Help charges to my account #Canada #unknowncharges #irritated,Wed Nov 01 00:16:08 +0000 2017,11680
11683,118258,@Uber_Support Hi I do not understand how I am suppose to generate my bill for the rides I've got.,Wed Nov 01 00:14:23 +0000 2017,11682
11685,118259,@Uber_Support my ubereats promo code isn't working for others,Wed Nov 01 00:14:39 +0000 2017,11684
12026,118367,Can @115877 get me that pollo regio tho!🤔🤔🤔,Wed Nov 01 00:41:34 +0000 2017,12025
12029,118368,Think I'll start using @115879 more. @115873 drivers canceled on me three times left me waiting for nearly an hour.,Wed Nov 01 00:44:36 +0000 2017,12027
12031,118370,@Uber_Support Just signed up thru ShopYourWay. Supposed to get promo for 1st ride free and $5 back in SYW points. No code sent?,Wed Nov 01 00:39:09 +0000 2017,12030
12033,118371,"@Uber_Support Right, I understand. What I don’t understand is how my score went from a 5 to 4.82 after one trip when I didn’t do anything during my ride",Wed Nov 01 01:31:15 +0000 2017,12035
12034,118371,Just saw that my @115873 rating went down and I AM PISSED.,Wed Nov 01 00:36:41 +0000 2017,12032
12615,118522,Disabled @115873 customers deserve better and equal access to rides as able bodied customers. I’m tired of being left out in the cold (contd.),Wed Nov 01 00:59:02 +0000 2017,12614
12617,118523,@115873 @Uber_Support @118524 @390 So.. which one is right? Always auto message and not answering if they don't want to.Are they LOYAL? https://t.co/aPZB0npR6s,Tue Oct 31 23:30:40 +0000 2017,12616
12619,118525,@Uber_Support I did but can you provide the items I asked about? The document spelling out what you can't have is not able to readily found.,Wed Nov 01 00:57:48 +0000 2017,12618
12621,118525,@Uber_Support  can you guys make the list of things that stop you from becoming a driver public? It's  suspect that it can't be found simply,Tue Oct 31 17:31:10 +0000 2017,12620
12623,118526,Is there an UberEats for candy delivery?,Wed Nov 01 00:49:38 +0000 2017,12622
12625,118527,Hello @115873 my driver is endangering my life with his costume https://t.co/R3AG4SMdt9,Wed Nov 01 00:52:03 +0000 2017,12624
12627,118528,"@Uber_Support Ordered chicken nuggets and got this. Seems right!  But hey, at least you’ll look in to it in 24 hours. https://t.co/KxtHua7F7u",Wed Nov 01 01:23:38 +0000 2017,"12626,12628"
12630,118529,@115877 My 1st experience was NOT GOOD. All dishes poor. #cantonchilli #jumboshrimpswithspicypepper Pic when I opened the lid $16.95 https://t.co/7mMPOpz6z2,Wed Nov 01 00:49:02 +0000 2017,12629
13228,118726,@Uber_Support Riders shouldn't have to have legally changed their names just to be addressed correctly by their Uber drivers,Tue Oct 31 23:56:17 +0000 2017,13227
13231,118727,@115877 i hate when my order is canceled after an hour of waiting,Wed Nov 01 01:03:12 +0000 2017,13230
13233,118728,@115877 again. I have 14.92 in my balance I am trying to place an order for 13 and it says that cannot verify payment profile,Wed Nov 01 01:02:54 +0000 2017,13232
13235,118729,"@118730 @uber_support 1/2 guys, your uber eats customer service is garbage. I ordered something by mistake, tried to cancel it to no",Wed Nov 01 01:03:00 +0000 2017,13234
13593,118838,"@Uber_Support on 10/29, my bank statement shows I was charged $23 for a trip that does not show up in the uber app and that I didn’t take.",Wed Nov 01 01:07:12 +0000 2017,13592
